transaction_id,customer_id,amount,currency,transaction_date,transaction_time,category,payment_method,status,merchant_name,description
TXN000035,CUST042,266.26,USD,2026-04-13,05:56:26,Electronics,Check,Completed,ElectroHub,Electronics transaction
TXN000036,CUST069,227.85,USD,2026-01-21,22:06:24,Home,Mobile Payment,Completed,HomeMart,Home transaction
TXN000037,CUST058,488.41,USD,2026-01-04,21:12:25,Travel,Bank Transfer,Completed,TravelAgent,Travel service
TXN000038,CUST174,144.75,USD,2026-04-18,17:21:01,Groceries,Bank Transfer,Completed,GroceryPlus,Groceries service
TXN000039,CUST089,90.72,USD,2026-04-04,10:27:38,Utilities,Bank Transfer,Completed,PowerCorp,Utilities service
TXN000040,CUST001,19.8,USD,2026-03-08,17:43:46,Books,Auto-Pay,Completed,EbookPlatform,Books purchase
TXN000041,CUST185,51.39,USD,2026-02-08,16:19:42,Health,Digital Wallet,Completed,DoctorClinic,Health service
TXN000042,CUST174,10.06,USD,2026-04-06,05:39:36,Food,Bank Transfer,Completed,BurgerBar,Payment for food
TXN000043,CUST120,485.94,USD,2026-02-26,14:43:13,Utilities,Digital Wallet,Completed,GasCompany,Payment for utilities
TXN000044,CUST132,41.45,USD,2026-03-26,20:39:21,Groceries,Cash,Completed,SuperStore,Groceries purchase
TXN000045,CUST063,98.17,USD,2026-03-02,19:54:49,Groceries,Cash,Completed,FarmFresh,Groceries service
TXN000046,CUST127,451.15,USD,2026-02-21,07:09:41,Books,Debit Card,Completed,BookStore,Books transaction
TXN000047,CUST046,128.77,USD,2026-04-13,22:33:29,Electronics,Mobile Payment,Completed,BestBuy,Electronics service
TXN000048,CUST171,110.7,USD,2026-03-09,17:38:20,Beauty,Check,Completed,BarberShop,Beauty service
TXN000049,CUST041,247.06,USD,2026-04-06,15:28:16,Beauty,Mobile Payment,Completed,CosmeticShop,Payment for beauty
TXN000050,CUST113,85.62,USD,2026-01-10,22:18:15,Food,Digital Wallet,Completed,RestaurantXYZ,Food service
TXN000051,CUST178,75.23,USD,2026-01-20,22:13:04,Health,Credit Card,Completed,DentalCare,Health service
TXN000052,CUST100,10.83,USD,2026-04-09,18:44:01,Home,Auto-Pay,Completed,HomeDecor,Home service
TXN000053,CUST108,320.88,USD,2026-03-10,23:47:34,Beauty,Bank Transfer,Completed,SkinCare,Beauty purchase
TXN000054,CUST100,471.84,USD,2026-02-13,21:43:51,Health,Credit Card,Pending,GymMembership,Health purchase
TXN000055,CUST022,63.07,USD,2026-03-24,13:08:55,Education,Cash,Completed,UniversityCourse,Payment for education
TXN000056,CUST195,21.47,USD,2026-04-23,12:17:48,Home,Credit Card,Completed,BuildersHub,Home purchase
TXN000057,CUST090,482.36,USD,2026-01-29,20:04:49,Sports,Cash,Completed,SportsGear,Sports transaction
TXN000058,CUST062,45.87,USD,2026-01-17,15:42:07,Dining,Auto-Pay,Completed,FoodCourt,Dining purchase
TXN000059,CUST200,351.53,USD,2026-04-15,05:19:06,Dining,Check,Completed,FineDining,Dining transaction
TXN000060,CUST020,52.22,USD,2026-03-17,22:53:40,Clothing,Debit Card,Completed,FashionHub,Clothing purchase
TXN000061,CUST089,11.77,USD,2026-03-10,13:42:23,Groceries,Check,Completed,MegaMart,Groceries purchase
TXN000062,CUST111,112.73,USD,2026-02-16,20:57:53,Education,Bank Transfer,Completed,UniversityCourse,Education service
TXN000063,CUST120,180.33,USD,2026-02-25,23:37:17,Travel,Mobile Payment,Completed,HotelBooking,Travel service
TXN000064,CUST146,213.64,USD,2026-03-20,21:24:21,Electronics,Cash,Completed,CompUSA,Payment for electronics
TXN000065,CUST088,142.73,USD,2026-02-05,19:44:56,Food,Debit Card,Completed,SushiBar,Food service
TXN000066,CUST126,12.41,USD,2026-03-13,07:44:30,Sports,Bank Transfer,Completed,RunnerStore,Sports transaction
TXN000067,CUST079,149.53,USD,2026-03-26,18:23:30,Utilities,Auto-Pay,Completed,TelecomPlus,Utilities service
TXN000068,CUST070,114.0,USD,2026-02-09,08:14:07,Books,Digital Wallet,Completed,EbookPlatform,Books service
TXN000069,CUST071,441.42,USD,2026-04-03,18:48:33,Dining,Bank Transfer,Completed,Bistro,Dining transaction
TXN000070,CUST078,343.68,USD,2026-01-02,22:34:08,Food,Digital Wallet,Completed,CoffeeShop,Food service
TXN000071,CUST027,35.81,USD,2026-04-22,00:36:18,Education,Credit Card,Completed,LanguageApp,Education service
TXN000072,CUST030,17.51,USD,2026-04-16,02:25:31,Groceries,Digital Wallet,Completed,MegaMart,Payment for groceries
TXN000073,CUST022,96.58,USD,2026-02-01,03:35:48,Health,Check,Completed,HealthPlus,Health service
TXN000074,CUST077,144.42,USD,2026-04-21,18:27:19,Dining,Debit Card,Pending,NoodleHouse,Dining transaction
TXN000075,CUST161,20.51,USD,2026-01-28,08:42:05,Entertainment,Credit Card,Completed,CinemaTickets,Entertainment service
TXN000076,CUST075,174.91,USD,2026-01-05,07:18:45,Food,Cash,Pending,CafeElegant,Food transaction
TXN000077,CUST109,174.99,USD,2026-01-15,17:14:41,Entertainment,Digital Wallet,Completed,GameStore,Payment for entertainment
TXN000078,CUST113,325.17,USD,2026-01-16,14:44:19,Books,Mobile Payment,Completed,LibraryMember,Books purchase
TXN000079,CUST111,104.4,USD,2026-04-05,10:38:16,Electronics,Credit Card,Cancelled,TechMart,Payment for electronics
TXN000080,CUST148,213.52,USD,2026-01-06,05:30:33,Sports,Check,Completed,RunnerStore,Sports service
TXN000081,CUST024,265.43,USD,2026-03-02,11:26:21,Travel,Mobile Payment,Completed,AirlineBookings,Travel service
TXN000082,CUST195,145.83,USD,2026-03-12,01:29:05,Travel,Check,Pending,TravelAgent,Travel purchase
TXN000083,CUST169,97.17,USD,2026-04-22,17:29:26,Electronics,Mobile Payment,Completed,ElectroHub,Electronics purchase
TXN000084,CUST053,319.65,USD,2026-02-04,17:08:59,Food,Credit Card,Failed,BurgerBar,Food transaction
TXN000085,CUST182,148.92,USD,2026-01-21,09:35:00,Utilities,Debit Card,Completed,GasCompany,Utilities purchase
TXN000086,CUST166,0.0,USD,2026-04-17,04:31:59,Books,Mobile Payment,Refunded,PublishingHouse,Books transaction
TXN000087,CUST117,133.11,USD,2026-03-12,04:24:12,Automotive,Debit Card,Completed,CarWash,Automotive service
TXN000088,CUST088,443.12,USD,2026-04-11,16:17:52,Electronics,Mobile Payment,Pending,GadgetWorld,Electronics service
TXN000089,CUST138,0.0,USD,2026-03-03,11:21:35,Beauty,Cash,Refunded,SkinCare,Beauty transaction
TXN000090,CUST147,76.22,USD,2026-02-19,07:54:49,Health,Check,Completed,PharmaCare,Health transaction
TXN000091,CUST127,304.11,USD,2026-01-05,04:32:37,Travel,Mobile Payment,Completed,AirlineBookings,Travel transaction
TXN000092,CUST105,106.98,USD,2026-04-22,20:09:04,Education,Debit Card,Pending,TutorHub,Education service
TXN000093,CUST082,19.58,USD,2026-03-22,22:56:48,Education,Bank Transfer,Cancelled,SkillBuild,Education purchase
TXN000094,CUST112,51.93,USD,2026-01-13,20:45:55,Groceries,Credit Card,Completed,FarmFresh,Groceries purchase
TXN000095,CUST076,105.45,USD,2026-02-15,11:27:09,Clothing,Digital Wallet,Completed,ClothingDirect,Clothing purchase
TXN000096,CUST157,200.09,USD,2026-04-22,12:39:43,Clothing,Mobile Payment,Completed,PremiumFashion,Clothing service
TXN000097,CUST066,32.12,USD,2026-03-27,00:57:51,Education,Mobile Payment,Pending,TutorHub,Payment for education
TXN000098,CUST164,63.86,USD,2026-02-24,22:16:29,Home,Mobile Payment,Completed,DesignStudio,Home service
TXN000099,CUST147,380.38,USD,2026-02-15,18:18:44,Food,Bank Transfer,Completed,CoffeeShop,Food purchase
TXN000100,CUST156,230.54,USD,2026-04-06,15:53:57,Automotive,Auto-Pay,Completed,TireShop,Automotive transaction
TXN000101,CUST159,136.48,USD,2026-02-02,21:48:46,Beauty,Credit Card,Completed,CosmeticShop,Beauty service
TXN000102,CUST009,68.17,USD,2026-03-16,11:46:08,Groceries,Cash,Completed,GroceryPlus,Payment for groceries
TXN000103,CUST136,253.3,USD,2026-03-06,08:53:10,Food,Auto-Pay,Completed,BurgerBar,Food service
TXN000104,CUST020,431.61,USD,2026-01-19,07:55:43,Books,Auto-Pay,Completed,LibraryMember,Books service
TXN000105,CUST004,125.14,USD,2026-02-03,17:07:29,Travel,Auto-Pay,Completed,TravelAgent,Travel transaction
TXN000106,CUST121,18.85,USD,2026-01-04,19:56:35,Travel,Mobile Payment,Pending,CarRental,Payment for travel
TXN000107,CUST167,190.64,USD,2026-02-22,03:08:02,Electronics,Cash,Pending,GadgetWorld,Electronics transaction
TXN000108,CUST100,113.92,USD,2026-02-28,11:42:47,Books,Digital Wallet,Pending,AcademicBooks,Books purchase
TXN000109,CUST126,72.26,USD,2026-03-20,13:17:02,Books,Cash,Pending,PublishingHouse,Books purchase
TXN000110,CUST176,36.57,USD,2026-02-17,17:57:41,Travel,Debit Card,Pending,AirlineBookings,Travel service
TXN000111,CUST024,56.69,USD,2026-03-26,06:41:40,Dining,Digital Wallet,Completed,FineDining,Dining transaction
TXN000112,CUST018,30.66,USD,2026-04-17,17:13:37,Clothing,Credit Card,Completed,StyleStore,Clothing transaction
TXN000113,CUST034,60.15,USD,2026-03-11,08:51:11,Groceries,Cash,Completed,FreshMart,Groceries purchase
TXN000114,CUST045,18.9,USD,2026-02-03,01:08:47,Health,Mobile Payment,Completed,HealthPlus,Health purchase
TXN000115,CUST116,100.07,USD,2026-03-06,07:39:02,Books,Credit Card,Completed,AcademicBooks,Books service
TXN000116,CUST103,21.31,USD,2026-02-24,21:06:31,Books,Digital Wallet,Completed,LibraryMember,Payment for books
TXN000117,CUST160,335.69,USD,2026-03-23,18:35:45,Travel,Mobile Payment,Completed,RideShare,Travel service
TXN000118,CUST026,225.26,USD,2026-04-12,22:07:54,Sports,Mobile Payment,Pending,CycleShop,Sports service
TXN000119,CUST087,53.75,USD,2026-04-16,14:25:26,Books,Bank Transfer,Completed,BookStore,Books transaction
TXN000120,CUST176,114.24,USD,2026-03-02,02:05:53,Groceries,Auto-Pay,Completed,FreshMart,Groceries purchase
TXN000121,CUST151,103.15,USD,2026-03-13,17:21:42,Groceries,Check,Pending,FarmFresh,Groceries purchase
TXN000122,CUST074,101.94,USD,2026-03-18,09:22:06,Dining,Cash,Completed,NoodleHouse,Payment for dining
TXN000123,CUST143,445.8,USD,2026-02-17,03:48:17,Dining,Credit Card,Completed,FoodCourt,Payment for dining
TXN000124,CUST008,35.4,USD,2026-01-24,08:44:48,Food,Digital Wallet,Completed,RestaurantXYZ,Food service
TXN000125,CUST018,68.78,USD,2026-01-19,23:40:01,Groceries,Auto-Pay,Completed,MegaMart,Payment for groceries
TXN000126,CUST185,115.62,USD,2026-02-11,18:38:05,Automotive,Credit Card,Completed,GasStation,Payment for automotive
TXN000127,CUST114,115.69,USD,2026-03-26,13:31:38,Education,Debit Card,Completed,LanguageApp,Education purchase
TXN000128,CUST073,65.34,USD,2026-03-28,21:37:31,Utilities,Credit Card,Completed,InternetISP,Payment for utilities
TXN000129,CUST055,79.63,USD,2026-04-09,04:48:16,Food,Check,Completed,RestaurantXYZ,Food service
TXN000130,CUST137,130.65,USD,2026-04-01,07:32:35,Home,Credit Card,Completed,DesignStudio,Home service
TXN000131,CUST020,296.19,USD,2026-04-21,10:36:27,Dining,Debit Card,Completed,TacoTruck,Payment for dining
TXN000132,CUST044,128.23,USD,2026-04-13,19:29:53,Books,Cash,Completed,PublishingHouse,Books service
TXN000133,CUST135,119.08,USD,2026-01-11,12:55:19,Books,Debit Card,Completed,PublishingHouse,Books purchase
TXN000134,CUST136,436.63,USD,2026-03-07,06:57:49,Travel,Digital Wallet,Completed,TravelAgent,Travel transaction
TXN000135,CUST066,118.2,USD,2026-01-26,05:38:09,Beauty,Mobile Payment,Completed,BeautySalon,Beauty service
TXN000136,CUST175,369.53,USD,2026-04-23,18:41:40,Dining,Digital Wallet,Completed,Bistro,Dining service
TXN000137,CUST114,20.39,USD,2026-03-22,09:50:17,Dining,Mobile Payment,Completed,FineDining,Dining purchase
TXN000138,CUST095,80.99,USD,2026-04-17,09:04:41,Home,Mobile Payment,Completed,HomeMart,Home purchase
TXN000139,CUST116,31.12,USD,2026-04-14,18:41:12,Travel,Credit Card,Completed,CarRental,Payment for travel
TXN000140,CUST183,496.85,USD,2026-01-11,16:41:11,Electronics,Digital Wallet,Completed,ElectroHub,Payment for electronics
TXN000141,CUST100,23.23,USD,2026-02-22,10:43:38,Electronics,Check,Completed,GadgetWorld,Electronics transaction
TXN000142,CUST086,101.85,USD,2026-01-11,18:42:09,Automotive,Check,Completed,TireShop,Automotive purchase
TXN000143,CUST080,126.05,USD,2026-03-13,12:41:50,Travel,Debit Card,Completed,HotelBooking,Travel service
TXN000144,CUST131,117.26,USD,2026-02-16,00:23:19,Entertainment,Cash,Completed,CinemaTickets,Entertainment transaction
TXN000145,CUST040,442.29,USD,2026-01-10,09:54:50,Groceries,Credit Card,Completed,MegaMart,Groceries transaction
TXN000146,CUST153,207.94,USD,2026-02-18,04:10:11,Home,Mobile Payment,Completed,HomeDecor,Payment for home
TXN000147,CUST174,231.9,USD,2026-04-03,07:28:39,Food,Cash,Completed,CafeElegant,Food service
TXN000148,CUST050,326.02,USD,2026-02-17,21:36:28,Education,Check,Failed,TutorHub,Education transaction
TXN000149,CUST155,24.36,USD,2026-01-18,08:03:41,Education,Debit Card,Completed,TutorHub,Education transaction
TXN000150,CUST070,227.71,USD,2026-02-27,16:09:53,Health,Mobile Payment,Pending,PharmaCare,Health purchase
TXN000151,CUST107,281.22,USD,2026-01-07,12:32:23,Clothing,Credit Card,Completed,PremiumFashion,Clothing purchase
TXN000152,CUST183,126.17,USD,2026-03-25,10:50:09,Entertainment,Digital Wallet,Completed,StreamMax,Entertainment service
TXN000153,CUST115,30.93,USD,2026-03-20,00:57:05,Electronics,Check,Completed,GadgetWorld,Payment for electronics
TXN000154,CUST061,25.52,USD,2026-02-08,03:03:15,Health,Mobile Payment,Completed,HealthPlus,Health purchase
TXN000155,CUST162,96.07,USD,2026-03-07,18:15:45,Entertainment,Cash,Completed,GameStore,Entertainment transaction
TXN000156,CUST171,120.1,USD,2026-03-27,02:33:23,Groceries,Credit Card,Completed,MegaMart,Groceries service
TXN000157,CUST012,19.46,USD,2026-03-23,12:23:16,Books,Cash,Completed,BookStore,Books purchase
TXN000158,CUST198,57.4,USD,2026-03-16,23:48:21,Entertainment,Digital Wallet,Completed,StreamMax,Entertainment service
TXN000159,CUST179,480.26,USD,2026-03-03,20:11:51,Entertainment,Credit Card,Completed,StreamMax,Entertainment purchase
TXN000160,CUST052,124.16,USD,2026-04-24,01:20:59,Food,Mobile Payment,Completed,SushiBar,Food transaction
TXN000161,CUST074,61.52,USD,2026-02-15,01:55:41,Travel,Check,Completed,TravelAgent,Travel service
TXN000162,CUST087,21.57,USD,2026-01-24,15:44:31,Travel,Check,Completed,CarRental,Travel transaction
TXN000163,CUST140,94.37,USD,2026-02-07,10:06:05,Travel,Check,Completed,TravelAgent,Travel service
TXN000164,CUST090,70.89,USD,2026-02-27,01:46:55,Automotive,Credit Card,Completed,TireShop,Automotive service
TXN000165,CUST094,387.33,USD,2026-03-07,23:43:10,Electronics,Mobile Payment,Completed,ElectroHub,Electronics purchase
TXN000166,CUST061,31.48,USD,2026-04-10,20:23:23,Health,Mobile Payment,Pending,HealthPlus,Payment for health
TXN000167,CUST114,100.94,USD,2026-04-08,02:36:08,Utilities,Cash,Failed,InternetISP,Utilities purchase
TXN000168,CUST189,118.5,USD,2026-01-24,15:33:24,Automotive,Mobile Payment,Completed,CarWash,Payment for automotive
TXN000169,CUST178,135.82,USD,2026-03-04,06:07:08,Home,Mobile Payment,Cancelled,HomeMart,Payment for home
TXN000170,CUST171,447.98,USD,2026-02-14,22:04:35,Utilities,Digital Wallet,Completed,InternetISP,Utilities transaction
TXN000171,CUST032,90.12,USD,2026-01-26,04:15:50,Education,Mobile Payment,Completed,OnlineCourses,Education transaction
TXN000172,CUST157,117.68,USD,2026-04-24,02:04:19,Health,Debit Card,Completed,DentalCare,Payment for health
TXN000173,CUST165,126.07,USD,2026-01-10,14:29:43,Utilities,Digital Wallet,Completed,InternetISP,Utilities transaction
TXN000174,CUST111,32.68,USD,2026-03-06,01:53:07,Utilities,Cash,Completed,WaterCorp,Payment for utilities
TXN000175,CUST021,96.02,USD,2026-02-02,06:40:35,Food,Debit Card,Completed,PizzaPlace,Food transaction
TXN000176,CUST152,139.35,USD,2026-03-16,04:10:42,Dining,Credit Card,Completed,NoodleHouse,Dining purchase
TXN000177,CUST021,90.1,USD,2026-01-06,20:49:36,Food,Credit Card,Completed,CafeElegant,Payment for food
TXN000178,CUST165,20.22,USD,2026-02-08,15:15:51,Beauty,Credit Card,Completed,BarberShop,Beauty service
TXN000179,CUST124,261.76,USD,2026-03-01,06:21:38,Entertainment,Auto-Pay,Failed,GameStore,Entertainment transaction
TXN000180,CUST195,47.45,USD,2026-02-17,16:35:06,Travel,Cash,Completed,HotelBooking,Travel purchase
TXN000181,CUST075,476.81,USD,2026-02-19,19:26:15,Home,Auto-Pay,Completed,FurnitureStore,Home transaction
TXN000182,CUST128,142.33,USD,2026-03-07,14:31:56,Food,Mobile Payment,Failed,BurgerBar,Food transaction
TXN000183,CUST150,378.99,USD,2026-02-15,01:03:18,Education,Mobile Payment,Completed,SkillBuild,Education purchase
TXN000184,CUST028,278.08,USD,2026-02-25,04:56:16,Books,Check,Completed,PublishingHouse,Books transaction
TXN000185,CUST093,247.9,USD,2026-03-12,09:04:24,Utilities,Debit Card,Completed,GasCompany,Utilities purchase
TXN000186,CUST101,81.28,USD,2026-02-17,10:35:23,Beauty,Credit Card,Completed,CosmeticShop,Beauty transaction
TXN000187,CUST183,198.92,USD,2026-02-12,15:33:29,Entertainment,Auto-Pay,Completed,TheatreTickets,Payment for entertainment
TXN000188,CUST152,254.93,USD,2026-02-13,16:53:32,Utilities,Credit Card,Completed,GasCompany,Utilities purchase
TXN000189,CUST107,47.17,USD,2026-03-16,09:50:57,Books,Cash,Completed,BookStore,Books service
TXN000190,CUST044,105.3,USD,2026-03-09,20:46:39,Beauty,Credit Card,Completed,BarberShop,Beauty purchase
TXN000191,CUST049,67.45,USD,2026-01-03,14:20:26,Entertainment,Mobile Payment,Pending,EventTickets,Entertainment purchase
TXN000192,CUST181,53.93,USD,2026-01-18,16:13:35,Travel,Digital Wallet,Completed,RideShare,Payment for travel
TXN000193,CUST140,36.92,USD,2026-02-15,21:49:55,Books,Cash,Completed,PublishingHouse,Payment for books
TXN000194,CUST058,58.83,USD,2026-02-08,09:45:13,Books,Bank Transfer,Completed,LibraryMember,Books service
TXN000195,CUST102,143.74,USD,2026-04-15,11:49:51,Entertainment,Debit Card,Completed,GameStore,Entertainment service
TXN000196,CUST168,88.68,USD,2026-02-02,23:30:13,Clothing,Bank Transfer,Completed,ClothingDirect,Clothing transaction
TXN000197,CUST063,67.86,USD,2026-01-07,21:57:33,Clothing,Mobile Payment,Completed,StyleStore,Clothing transaction
TXN000198,CUST002,37.92,USD,2026-03-12,05:26:41,Automotive,Bank Transfer,Completed,AutoParts,Automotive purchase
TXN000199,CUST197,211.27,USD,2026-01-12,20:36:14,Utilities,Digital Wallet,Pending,PowerCorp,Utilities purchase
TXN000200,CUST102,153.24,USD,2026-04-11,15:11:59,Books,Debit Card,Pending,PublishingHouse,Payment for books
TXN000201,CUST073,313.81,USD,2026-02-28,20:34:33,Education,Cash,Completed,UniversityCourse,Payment for education
TXN000202,CUST042,57.2,USD,2026-04-04,14:41:16,Books,Bank Transfer,Completed,EbookPlatform,Books transaction
TXN000203,CUST045,22.14,USD,2026-03-20,20:57:25,Home,Debit Card,Completed,BuildersHub,Home transaction
TXN000204,CUST123,47.38,USD,2026-02-11,07:00:16,Health,Auto-Pay,Completed,GymMembership,Health purchase
TXN000205,CUST067,32.36,USD,2026-03-25,11:44:15,Electronics,Bank Transfer,Completed,TechMart,Payment for electronics
TXN000206,CUST095,148.44,USD,2026-03-20,07:14:08,Education,Auto-Pay,Completed,UniversityCourse,Education service
TXN000207,CUST194,93.41,USD,2026-03-10,21:52:13,Beauty,Debit Card,Completed,CosmeticShop,Payment for beauty
TXN000208,CUST020,85.13,USD,2026-03-14,03:03:53,Utilities,Digital Wallet,Completed,TelecomPlus,Utilities service
TXN000209,CUST030,305.92,USD,2026-03-29,06:45:37,Education,Credit Card,Completed,OnlineCourses,Education service
TXN000210,CUST117,288.58,USD,2026-03-14,01:35:29,Sports,Credit Card,Completed,SportsMart,Sports purchase
TXN000211,CUST012,174.16,USD,2026-02-24,11:44:04,Utilities,Mobile Payment,Completed,PowerCorp,Utilities service
TXN000212,CUST047,134.79,USD,2026-04-09,04:49:41,Books,Mobile Payment,Pending,LibraryMember,Books service
TXN000213,CUST097,58.69,USD,2026-01-11,21:42:55,Utilities,Digital Wallet,Cancelled,WaterCorp,Utilities service
TXN000214,CUST136,312.05,USD,2026-01-17,23:14:53,Electronics,Check,Completed,TechMart,Electronics transaction
TXN000215,CUST064,102.43,USD,2026-02-28,11:09:17,Clothing,Credit Card,Completed,FashionHub,Clothing purchase
TXN000216,CUST026,16.19,USD,2026-03-18,01:28:38,Sports,Mobile Payment,Completed,SportsGear,Sports transaction
TXN000217,CUST194,406.03,USD,2026-04-21,01:08:32,Food,Auto-Pay,Completed,PizzaPlace,Payment for food
TXN000218,CUST061,18.53,USD,2026-02-08,04:42:33,Clothing,Digital Wallet,Completed,PremiumFashion,Clothing service
TXN000219,CUST143,261.56,USD,2026-03-05,01:22:41,Sports,Check,Completed,RunnerStore,Payment for sports
TXN000220,CUST097,109.06,USD,2026-01-24,17:30:15,Home,Mobile Payment,Pending,FurnitureStore,Home service
TXN000221,CUST107,100.54,USD,2026-03-13,16:08:24,Clothing,Mobile Payment,Completed,UrbanWear,Clothing purchase
TXN000222,CUST138,132.31,USD,2026-04-03,06:03:17,Health,Cash,Completed,HealthPlus,Health transaction
TXN000223,CUST123,486.73,USD,2026-01-27,10:19:58,Electronics,Debit Card,Completed,ElectroHub,Electronics service
TXN000224,CUST063,118.57,USD,2026-03-31,19:45:13,Health,Check,Completed,GymMembership,Payment for health
TXN000225,CUST079,147.38,USD,2026-02-03,11:32:56,Education,Mobile Payment,Completed,LanguageApp,Payment for education
TXN000226,CUST053,155.68,USD,2026-02-17,10:26:02,Dining,Check,Completed,FoodCourt,Dining transaction
TXN000227,CUST085,142.09,USD,2026-01-30,12:36:53,Clothing,Auto-Pay,Completed,PremiumFashion,Clothing service
TXN000228,CUST186,110.84,USD,2026-03-24,23:31:29,Entertainment,Mobile Payment,Completed,GameStore,Entertainment purchase
TXN000229,CUST135,127.96,USD,2026-01-05,02:52:42,Electronics,Cash,Completed,TechMart,Electronics transaction
TXN000230,CUST003,140.75,USD,2026-01-28,16:29:23,Electronics,Mobile Payment,Completed,BestBuy,Electronics purchase
TXN000231,CUST002,337.51,USD,2026-03-10,17:26:00,Electronics,Bank Transfer,Completed,BestBuy,Electronics service
TXN000232,CUST046,45.34,USD,2026-01-14,03:33:09,Clothing,Auto-Pay,Completed,StyleStore,Clothing service
TXN000233,CUST021,125.93,USD,2026-02-17,12:29:36,Clothing,Debit Card,Completed,StyleStore,Clothing purchase
TXN000234,CUST024,108.4,USD,2026-02-21,12:24:35,Education,Debit Card,Completed,OnlineCourses,Education service
TXN000235,CUST166,230.42,USD,2026-04-11,10:36:54,Groceries,Mobile Payment,Completed,MegaMart,Groceries purchase
TXN000236,CUST176,260.07,USD,2026-02-05,17:36:42,Electronics,Cash,Completed,ElectroHub,Electronics service
